Full_Verse,First_Sadr,First_Ajz,Second_Sadr,Second_Ajz,Fifth_Verse,اسم الشاعر,نوع النص(فخر/هجاء/غزل/وصف),تصنيف النص دوبيت ام لا,عدد الأبيات
وحاة شيخ طرقك اللاقي لي برحه وإجازة .. أكنت بسلبه السدر الشرايط جازه .. أكان من الأشو ماقالوا عنده عرازه .. ما بشبهلو تعب أب دومة النزازه,وحاة شيخ طرقك اللاقي لي برحه وإجازة,أكنت بسلبه السدر الشرايط جازه,أكان من الأشو ماقالوا عنده عرازه,ما بشبهلو تعب أب دومة النزازه,,الطيب مصطفى,,نعم,2
يا بو الشيخ كلامك حالي فيه لزازه .. فوق صلتيتة اب هجبه العرض بالبازه .. فطيمة الرده بالقفر الملين مي عزازه .. أول لوحه من صاحب الشديد فزازه,يا بو الشيخ كلامك حالي فيه لزازه,فوق صلتيتة اب هجبه العرض بالبازه,فطيمة الرده بالقفر الملين مي عزازه,أول لوحه من صاحب الشديد فزازه,,الطيب مصطفى,وصف,نعم,2
أنا مالي ذكرتوني قلبي استازي .. من العنقة رومية وطرد حزازه .. مكلوف ناس علي التاته بدور له برازه .. هدي عنز الشريطات النبت قمازه,أنا مالي ذكرتوني قلبي استازي,من العنقة رومية وطرد حزازه,مكلوف ناس علي التاته بدور له برازه,هدي عنز الشريطات النبت قمازه,,الطيب مصطفى,,نعم,2
النوى لي بلادو يابس السيقان .. وحامت بالتبوب مربوعة الحيوان .. قالوا لي إن ملقنك شيطان .. قرفيط الجناح دايرك تعرفه كمان,النوى لي بلادو يابس السيقان,وحامت بالتبوب مربوعة الحيوان,قالوا لي إن ملقنك شيطان,قرفيط الجناح دايرك تعرفه كمان,,ود الصقيع,هجاء,نعم,2
النوى لي بلادو النعام في الطير .. وحامت بالتبوب وزينة الدوير .. إل لقني جان والجان ملك يا عوير .. وقرفيط الجناح داك الجراد يا عير,النوى لي بلادو النعام في الطير,وحامت بالتبوب وزينة الدوير,إل لقني جان والجان ملك يا عوير,وقرفيط الجناح داك الجراد يا عير,,عبدالله عبدالرحمن (كباسة الضرير),هجاء,نعم,2
إن سألوني بالذمة الصريح بحكاه .. حبك سلب الدوف والعضم حكاه .. البجنين بلا ليمك ضرر مشكاه .. فرقك يالرخيص أبكاني وأبكاه,إن سألوني بالذمة الصريح بحكاه,حبك سلب الدوف والعضم حكاه,البجنين بلا ليمك ضرر مشكاه,فرقك يالرخيص أبكاني وأبكاه,,أحمد أبو الصادق,غزل,نعم,2
ياعثمان اخوي الباديه طارت ليه .. كجنت الجمال وكرهت دروب الصيه .. داير اشوف بيوتا بالحجر مبنيه .. داير اشوف عيون الصيده في الآدمية,ياعثمان اخوي الباديه طارت ليه,كجنت الجمال وكرهت دروب الصيه,داير اشوف بيوتا بالحجر مبنيه,داير اشوف عيون الصيده في الآدمية,,رجل البادية,وصف,نعم,2
ياخوي اللمين أنا قلبي حن عليكا .. ياريت ماطريت اهل المداين ليكا .. فك رسن القعود قوماك علي واديكا .. في شجر الأراك ظبي الفريق راجيكا,ياخوي اللمين أنا قلبي حن عليكا,ياريت ماطريت اهل المداين ليكا,فك رسن القعود قوماك علي واديكا,في شجر الأراك ظبي الفريق راجيكا,,رجل المدينة,,نعم,2
يا عثمان اخوي إنت المدن شارقاكا .. إنت نشدت فيها وقلت فوقه غناكا .. هزيت المسامع بي جميل مغناكا .. أطريت البلابل اللي كانوا معاكا,يا عثمان اخوي  إنت المدن شارقاكا,إنت نشدت فيها وقلت فوقه غناكا,هزيت المسامع بي جميل مغناكا,أطريت البلابل اللي كانوا معاكا,,رجل البادية,,نعم,2
ياخوي اللمين مالو الدرب طال بينا .. ومالنا دهبنا اللي فينا ربينا .. داك نور المدينة ظهر جهر عينينا .. أنا داير أشوف نور البتول وسكينة,ياخوي اللمين مالو الدرب طال بينا,ومالنا دهبنا اللي فينا ربينا,داك نور المدينة ظهر جهر عينينا,أنا داير أشوف نور البتول وسكينة,,رجل المدينة,,نعم,2
كم كربته من الصبح للغيبة .. وكم شقيت فيافي وكم كتلت دبيبة .. أموال الرجال مهما تكن بنجيبه .. كربته يا جمل في ريرا لي حبيبة,كم كربته من الصبح للغيبة,وكم شقيت فيافي وكم كتلت دبيبة,أموال الرجال مهما تكن بنجيبه,كربته يا جمل في ريرا لي حبيبة,,طه الضرير,وصف,نعم,2
قال لي الجمل يا سيدي أرخي رسيني .. وانا عارف الطريق بالله ما توصيني .. لازم زين الحبيبة ليك بصل في حيني .. وان بطلت بكره السوق عصر وديني,قال لي الجمل يا سيدي أرخي رسيني,وانا عارف الطريق بالله ما توصيني,لازم زين الحبيبة ليك بصل في حيني,وان بطلت بكره السوق عصر وديني,,طه الضرير,وصف,نعم,2
أداها الإذن يوم الزيارة حليله .. جات بي خفية ليل تتنى قاصده عليلة .. جابت ليها كلمة ماه عارفة دليله .. قالت يالخزين كيف حالك انت الليلة,أداها الإذن يوم الزيارة حليله,جات بي خفية ليل تتنى قاصده عليلة,جابت ليها كلمة ماه عارفة دليله,قالت يالخزين كيف حالك انت الليلة,,عمر بن أبي ربيعة,غزل,نعم,2
قلت سيبي حالي البي وديل أسراري .. أربعة ظاهرات يكفوك عن إقراري .. فاطرك والشليخ الديمه لامع يراري .. خدم والعيون زاد منهن إضراري,قلت سيبي حالي البي وديل أسراري,أربعة ظاهرات يكفوك عن إقراري,فاطرك والشليخ الديمه لامع يراري,خدم والعيون زاد منهن إضراري,,عمر بن أبي ربيعة,غزل,نعم,2
لاكين يا ام خد بي نيتك انت جُزيت .. وبي رنعة ظهيرك زدت لي أزيتي .. كان ماك عارفة من جيهتك حرمت مزيتي .. ليه عند الضحك تتني قاصده أزيتي,لاكين يا ام خد بي نيتك انت جُزيت,وبي رنعة ظهيرك زدت لي أزيتي,كان ماك عارفة من جيهتك حرمت مزيتي,ليه عند الضحك تتني قاصده أزيتي,,عمر بن أبي ربيعة,غزل,نعم,2
قالت لي ياخوي عظمت لي جنيتي .. عاد ياخوي مابقصد أذاك بي نيتي .. لاكين الله تقل لي الصدر في بنيتي .. يرجح بالضمير واتنى من دون نيتي,قالت لي ياخوي عظمت لي جنيتي,عاد ياخوي مابقصد أذاك بي نيتي,لاكين الله تقل لي الصدر في بنيتي,يرجح بالضمير واتنى من دون نيتي,,عمر بن أبي ربيعة,غزل,نعم,2
ياعتيت كبرنا وحالنا تب مازل .. وكل يوم في هواها مغيرين منزل .. وين ما طريت ال دماعه جرى منهل .. حلق الريف بوج ناري وغميضك قل,ياعتيت كبرنا وحالنا تب مازل,وكل يوم في هواها مغيرين منزل,وين ما طريت ال دماعه جرى منهل,حلق الريف بوج ناري وغميضك قل,,,غزل,نعم,2
بريد الحادق المابجيب كلاما شاز .. بريد الفي طلق نار القمير والجاز .. بريد القامته مربوعه وبراطمه لزاز .. بريده وأصله عاجبني ودروبه عراز,بريد الحادق المابجيب كلاما شاز,بريد الفي طلق نار القمير والجاز,بريد القامته مربوعه وبراطمه لزاز,بريده وأصله عاجبني ودروبه عراز,,حمد علي الحلال الشكري,,نعم,2
براق العشا الغرباني دازني علايل .. وهفن لي بسيمات الظريف مو مايل .. البي زوقه فاق عبله ام جمالا هايل .. النقرابي والشف في ام فنايد خايل,براق العشا الغرباني دازني علايل,وهفن لي بسيمات الظريف مو مايل,البي زوقه فاق عبله ام جمالا هايل,النقرابي والشف في ام فنايد خايل,,عبدالله شوران,,,2
حميان الشمس أدا الترع قلاله .. جف الطين وقف بقت الأرض ملاله .. قام بيهن خبير الكان قبيل دلاله .. وقفن وقلن بس كاس البلاله,حميان الشمس أدا الترع قلاله,جف الطين وقف بقت الأرض ملاله,قام بيهن خبير الكان قبيل دلاله,وقفن وقلن بس كاس البلاله,,لايوجد,,نعم,2
ناس قدر الله قاعدين في البيوت ما بخو تره .. من كبي وكشف حال الحريم ما بفو تره .. أنا بختر براي أسد الرديم أنوتره .. صاحبي ان ضل ما بفشي به والله بسوتره,ناس قدر الله قاعدين في البيوت ما بخو تره,من كبي وكشف حال الحريم ما بفو تره,أنا بختر براي أسد الرديم أنوتره,صاحبي ان ضل ما بفشي به والله بسوتره,,الطيب ود ضحوية,,نعم,2
جنيبة الفارس الفوق النحاس فشار .. عملت جوفي خشبا في سدر منشار .. فرق الشوقها لديغ الفصوصها كبار .. خلي جنابي ماسك كل يوم مسدار,جنيبة الفارس الفوق النحاس فشار,عملت جوفي خشبا في سدر منشار,فرق الشوقها لديغ الفصوصها كبار,خلي جنابي ماسك كل يوم مسدار,,ودشورناني,غزل,مسدار,2
من بربر مرقنا على العديلا .. تبارك الخطوة يافارق النتيلا .. جيت غاشي اب تقر للمويا شيلا .. المبيت ام عطفه قاسي علي مقيلا,من بربر مرقنا على العديلا,تبارك الخطوة يافارق النتيلا,جيت غاشي اب تقر للمويا شيلا,المبيت ام عطفه قاسي علي مقيلا,,ابراهيم ود الفراش,,مسدار,2
رفاعة الرب قافاها البليب طربان .. ناطحة المنة ميزان قلبي مو خربان .. مشتول السواقي الباللدوب شربان .. بلوده بعيدة في بادية العربان,رفاعة الرب قافاها البليب طربان,ناطحة المنة ميزان قلبي مو خربان,مشتول السواقي الباللدوب شربان,بلوده بعيدة في بادية العربان,,احمد عبدالكريم ابوسن,,مسدار,2
غاب نجم النطح والحر علينا اشتد .. ضيفنا وقصر ليله ونهاره امتد .. نظره المنو للقانون بقيت اتحدى .. فتحت عندي منطقة الغنا اللي انسد,غاب نجم النطح والحر علينا اشتد,ضيفنا وقصر ليله ونهاره امتد,نظره المنو للقانون بقيت اتحدى,فتحت عندي منطقة الغنا اللي انسد,,ودشورناني,,مسدار,2
الليلة الفغر بادرني بي نسام .. حرك ساكنا ما بلقى منه منام .. بريب وادي غبته محدج الأسهام .. الريد في العقول إلا المحبة أقسام,الليلة الفغر بادرني بي نسام,حرك ساكنا ما بلقى منه منام,بريب وادي غبته محدج الأسهام,الريد في العقول إلا المحبة أقسام,,الطيب مصطفى,,مسدار,2
من آم عطفه قام بي النفيل .. يطبق في القرب الخبوة ديل .. قال لي العلوق ليشن قليل .. ضحايا بدري جيت في الباك مقيل,من آم عطفه قام بي النفيل,يطبق في القرب الخبوة ديل,قال لي العلوق ليشن قليل,ضحايا بدري جيت في الباك مقيل,,ابراهيم ود الفراش,وصف,مسدار,2
من الباك سقيته لكان يوبو .. يكربت بي سمح ماسك دريبو .. تقول مرناع يجدع في نديبو .. المبيت الباونيب في اللايميبو,من الباك سقيته لكان يوبو,يكربت بي سمح ماسك دريبو,تقول مرناع يجدع في نديبو,المبيت الباونيب في اللايميبو,,ابراهيم ود الفراش,وصف,مسدار,2
من اللايميب سمح وقيلو .. وجاته الحالة دوماتو يسيلو .. قال لي العلوق يا سيدي شيلو .. الوغد ماسك له في كوكريب مقيلو,من اللايميب سمح وقيلو,وجاته الحالة دوماتو يسيلو,قال لي العلوق يا سيدي شيلو,الوغد ماسك له في كوكريب مقيلو,,ابراهيم ود الفراش,وصف,مسدار,2
من الكوكريب العيش أباه .. يقمز بي فرحان بي غناه .. أبا داب الجبل حقبه وقفاه .. وفي هاريت ري زولا سقاه,من الكوكريب العيش أباه,يقمز بي فرحان بي غناه,أبا داب الجبل حقبه وقفاه,وفي هاريت ري زولا سقاه,,ابراهيم ود الفراش,وصف,مسدار,2
في هاريت حطيت فوقه حطه .. يقمز بي كمان ياخد له نطه .. جبل اودوس بدا وجيت فاطه بطه .. نزل توبلال هناك فوق المحطه,في هاريت حطيت فوقه حطه,يقمز بي كمان ياخد له نطه,جبل اودوس بدا وجيت فاطه بطه,نزل توبلال هناك فوق المحطه,,ابراهيم ود الفراش,وصف,مسدار,2
من توبلاك سلك خلى الفتاته .. وجاته الحاله سقرب بي تلاته .. بديت أسقيه انا وقاصد به شاطه .. عصر هندوب سواطن بدري باته,من توبلاك سلك خلى الفتاته,وجاته الحاله سقرب بي تلاته,بديت أسقيه انا وقاصد به شاطه,عصر هندوب سواطن بدري باته,,ابراهيم ود الفراش,وصف,مسدار,2
من هندوب غرب شفت الصرايا .. بشم نفسا زكي وريحة الجدايا .. بشوف عربا سلامن لي دبايا .. ترى البنيان أهل دنيا وعرايا,من هندوب غرب شفت الصرايا,بشم نفسا زكي وريحة الجدايا,بشوف عربا سلامن لي دبايا,ترى البنيان أهل دنيا وعرايا,,ابراهيم ود الفراش,وصف,مسدار,2
الزبنان دخل منا العصر بي نسيمه .. ذكرني البيضوي الظلمة بي تبسيمه .. يا مولاي علي النوم كتر تقسيمة .. هذا ماراد علي الله الأمر ترسيمة,الزبنان دخل منا العصر بي نسيمه,ذكرني البيضوي الظلمة بي تبسيمه,يا مولاي علي النوم كتر تقسيمة,هذا ماراد علي الله الأمر ترسيمة,,الطيب مصطفى,وصف,,2
الدبران دخل واصبح دليلي محير .. السما جاب له ضهرا به وهواه اتغير .. هفا لي السحي الفوق المدس بادير .. ربي شكيت عليك وآت سيد حياتي مخير,الدبران دخل واصبح دليلي محير,السما جاب له ضهرا به وهواه اتغير,هفا لي السحي الفوق المدس بادير,ربي شكيت عليك وآت سيد حياتي مخير,,الطيب مصطفى,وصف,نعم,2
الليلة السرف عرقه العوا بصيب .. عندك في السماك معشوق فليله بطيب .. ياريح الجنب ما شفتي لي حبيب .. رب هجرتني الهجر انكتب لي صعيب,الليلة السرف عرقه العوا بصيب,عندك في السماك معشوق فليله بطيب,ياريح الجنب ما شفتي لي حبيب,رب هجرتني الهجر انكتب لي صعيب,,الطيب مصطفى,وصف,نعم,2
خلاص يا صاحبي واعدد المنازل تمن .. عقب جرحاتي من برد النسايم همن .. طريت شتلات منى الفوق بالضريره انعمن .. الدالكات زمان القيح ملاهن دمن,خلاص يا صاحبي واعدد المنازل تمن,عقب جرحاتي من برد النسايم همن,طريت شتلات منى الفوق بالضريره انعمن,الدالكات زمان القيح ملاهن دمن,,الطيب مصطفى,وصف,نعم,2
الليله المطيرق فاقده والفرق مابيه .. باكية على اللي مات مهرة معنى العابيه .. قالت لي فلان ال ليها مافي مزابيه .. عندها سيطر المحرب رئيس الطابيه,الليله المطيرق فاقده والفرق مابيه,باكية على اللي مات مهرة معنى العابيه,قالت لي فلان ال ليها مافي مزابيه,عندها سيطر المحرب رئيس الطابيه,,احمد عوض الكريم ابوسن,وصف,نعم,2
من ساعة اللمين ما اداك لي هدية .. طريت مطرق أمير شعرانا في المهدية .. وكت ودعتك الأطباعها ماها ردية .. داير ليك عناين زي مغاني رضية,من ساعة اللمين ما اداك لي هدية,طريت مطرق أمير شعرانا في المهدية,وكت ودعتك الأطباعها ماها ردية,داير ليك عناين زي مغاني رضية,,الحردلو,وصف,نعم,2
خلف التاج فريد عصره وباروه وزايره .. واتخنتل متل زرع الدرا الفي جزايره .. نهدا داب وقام فتق عراوي زرايره .. قال للناس تراه الموت يجيهو الدايره,خلف التاج فريد عصره وباروه وزايره,واتخنتل متل زرع الدرا الفي جزايره,نهدا داب وقام فتق عراوي زرايره,قال للناس تراه الموت يجيهو الدايره,,يوسف عسب الله,وصف,نعم,2
ساقك شمعدان عرافه مو مطقن .. مشيك سنيد وحاة الله وعليه محقق .. سلاحك جوه في ريشات قلوبنا رشقق .. نويح الليل عليك صبح لساني مبقق,ساقك شمعدان عرافه مو مطقن,مشيك سنيد وحاة الله وعليه محقق,سلاحك جوه في ريشات قلوبنا رشقق,نويح الليل عليك صبح لساني مبقق,,الصادق,غزل,نعم,2
قلبي مفشل المدره ام سحابتن عاتمة .. ودوفي مبرمحة الدرعه ام سماحتن خاتمة .. فرت باسمه تحل الضماير الكاتمه .. واربشيها ضراب اب سنونا هاتمة,قلبي مفشل المدره ام سحابتن عاتمة,ودوفي مبرمحة الدرعه ام سماحتن خاتمة,فرت باسمه تحل الضماير الكاتمه,واربشيها ضراب اب سنونا هاتمة,,الصادق,غزل,نعم,2
البارح رأيت ناسا بعاد بالحيل .. ناس ثابتة ام وضيبا زي سبيب الخيل .. الدرعه أم وريدا زي جدي اب قمبيل .. خلت قلبي إلعب كل ساعة شليل,البارح رأيت ناسا بعاد بالحيل,ناس ثابتة ام وضيبا زي سبيب الخيل,الدرعه أم وريدا زي جدي اب قمبيل,خلت قلبي إلعب كل ساعة شليل,,الحردلو,غزل,نعم,2
الشافك قبيل ميت عليك بحساسه .. والهسع سمع طنيتو يقسى خلاصه .. الظرف المكمل والصبا ال بي قياسه .. من بين البنات فازت به خلت ناسه,الشافك قبيل ميت عليك بحساسه,والهسع سمع طنيتو يقسى خلاصه,الظرف المكمل والصبا ال بي قياسه,من بين البنات فازت به خلت ناسه,,الحردلو,غزل,نعم,2
ياحورية أنت نبيله .. في الكون ماليك زميله .. فايم فيك روحي عليله .. أنا مثلث قيس يا ليله,ياحورية أنت نبيله,في الكون ماليك زميله,فايم فيك روحي عليله,أنا مثلث قيس يا ليله,,,غزل,نعم,2
أقيم الليل على ساق لي طلوع الفجر .. وحن كحنين شفوق النوق دموعي انا تجري .. ايه ذنبي العملتو أوجب سبايب هجري .. يا جاهله ارحمي وطليني تكسبي أجري,أقيم الليل على ساق لي طلوع الفجر,وحن كحنين شفوق النوق دموعي انا تجري,ايه ذنبي العملتو أوجب سبايب هجري,يا جاهله ارحمي وطليني تكسبي أجري,,العبادي,غزل,نعم,2
لي زمنا طويل الصيدة أمارس فيها .. جفلت وأبعدت تعبان انا اللا فيها .. نارا في حشاي غيرك منو البطفيها .. ياروح اب حسن قوله سلام شن فيها,لي زمنا طويل الصيدة أمارس فيها,جفلت وأبعدت تعبان انا اللا فيها,نارا في حشاي غيرك منو البطفيها,ياروح اب حسن قوله سلام شن فيها,,العبادي,غزل,نعم,2
هبا لي النسيم من نومي تبيت صاحي .. حرمت الغميض انا من عشاي لي صباحي .. مالك يا رام تفتق علي جرامي .. طريتني المخسلة بت بكار مداحي,هبا لي النسيم من نومي تبيت صاحي,حرمت الغميض انا من عشاي لي صباحي,مالك يا رام تفتق علي جرامي,طريتني المخسلة بت بكار مداحي,,العبادي,غزل,نعم,2
بشد واركب على القادر ينسف دايره .. رمان الجنينة انا نيتي اجنبي بدايره .. يوم أبيض ألم أنا في الزويل الدايره .. من إيدي اليمين لعن شمالي أضايره,بشد واركب على القادر ينسف دايره,رمان الجنينة انا نيتي اجنبي بدايره,يوم أبيض ألم أنا في الزويل الدايره,من إيدي اليمين لعن شمالي أضايره,,العبادي,غزل,نعم,2
السبب الممنعني وظهر لي بخالته .. يتجزع يطن كل من قربت أخالته .. يطمح في القلب من أمه لي عن خالته .. على الريق بدري ساقيني المعلقم خالته,السبب الممنعني وظهر لي بخالته,يتجزع يطن كل من قربت أخالته,يطمح في القلب من أمه لي عن خالته,على الريق بدري ساقيني المعلقم خالته,,العبادي,غزل,نعم,2
الليلة الغرام رافعته عند القاضي .. قال لي والمحامي الكان معاك شن قاضي .. أولى الاختصار روح يا اب حسن لا تقاضي .. في جهنم رماني أصبح منقصن وقاضي,الليلة الغرام رافعته عند القاضي,قال لي والمحامي الكان معاك شن قاضي,أولى الاختصار روح يا اب حسن لا تقاضي,في جهنم رماني أصبح منقصن وقاضي,,العبادي,غزل,نعم,2
الناس الرقيقين والقريب غلدوا .. كدابين متل داك الزويل ما بيلدوا .. يوم ابيض ألم أنا في زويلي وقلدوا .. انت الصيد إل انباع بالدراهم جلدوا,الناس الرقيقين والقريب غلدوا,كدابين متل داك الزويل ما بيلدوا,يوم ابيض ألم أنا في زويلي وقلدوا,انت الصيد إل انباع بالدراهم جلدوا,,العبادي,غزل,نعم,2
شالت نومي بريبة العسين الغافية .. حالي يحنن الكافر اب كبدتن جافية .. حربته في القصار أحمد يقول لي شافية .. هيله العز حرس من الجدود مي لافية,شالت نومي بريبة العسين الغافية,حالي يحنن الكافر اب كبدتن جافية,حربته في القصار أحمد يقول لي شافية,هيله العز حرس من الجدود مي لافية,,العبادي,غزل,نعم,2
شن تشبه بلا الدخلن خديره وداشن .. سمعن نفر الصغير اسارقن واتماشن .. في بوسن العصير لابسات قماش يتفاشن .. جاتن بردت حيلن بعد ما هاشن,شن تشبه بلا الدخلن خديره وداشن,سمعن نفر الصغير اسارقن واتماشن,في بوسن العصير لابسات قماش يتفاشن,جاتن بردت حيلن بعد ما هاشن,,العبادي,غزل,نعم,2
وخرته امتثال صحبي المطلع كيفي .. أبراهيم ثبات عقلي ودرقتي وسيفي .. مطمورة غلاي مونة خريفي وصيفي .. سترة حالي في نساي وجناي وضيفي,وخرته امتثال صحبي المطلع كيفي,أبراهيم ثبات عقلي ودرقتي وسيفي,مطمورة غلاي مونة خريفي وصيفي,سترة حالي في نساي وجناي وضيفي,,ابراهيم ابي سن,المدح,نعم,2
مما قام صغير ما جاب كلمتن ضالعه .. واتبر سم ضحك وكت الحبش جت طالعه .. وكت الشوف بشوف القلوب متخالفه .. صدرك زحمة النار ام هبوبا قالعه,مما قام صغير ما جاب كلمتن ضالعه,واتبر سم ضحك وكت الحبش جت طالعه,وكت الشوف بشوف القلوب متخالفه,صدرك زحمة النار ام هبوبا قالعه,,محمد ود احمودة,المدح,نعم,2
إن أداك وكتر ما بقول أديت .. أب درق الموشح كله بالسوميت .. أب رسوة ال بكر حجر ورود سيتيت .. كاتال في الخلا وعقبان كريم في البيت,إن أداك وكتر ما بقول أديت,أب درق الموشح كله بالسوميت,أب رسوة ال بكر حجر ورود سيتيت,كاتال في الخلا وعقبان كريم في البيت,,الحردلو,المدح,نعم,2
ماداير لك الميته ام رمادا شح .. ياريت يا عشاي بدميك اتوشح .. وكت الخيل يقلبن والسيف يسوي التح .. والميت مسولب والعجاج يكتح,ماداير لك الميته ام رمادا شح,ياريت يا عشاي بدميك اتوشح,وكت الخيل يقلبن والسيف يسوي التح,والميت مسولب والعجاج يكتح,,بنونة بن الملك نمر,رثاء,نعم,2
نوح يا طرفي نوح يا صدري ضيق مادام .. مات رجل الفضيلة وقدوة الإسلام .. مات شخص الوفا والبر والأحلام .. فارق قومه لا مزموم ولاه ملام,نوح يا طرفي نوح يا صدري ضيق مادام,مات رجل الفضيلة وقدوة الإسلام,مات شخص الوفا والبر والأحلام,فارق قومه لا مزموم ولاه ملام,,محمد علي عبدالله,رثاء,نعم,2
جعفر يا صديق فقدك كساني سقام .. ونعيك في الأثير في صدري كالأنغام .. كيف ما انوم عليك وأرتل الأنغام .. وين أمسيت وين أصبحت يا ضرغام,جعفر يا صديق فقدك كساني سقام,ونعيك في الأثير في صدري كالأنغام,كيف ما انوم عليك وأرتل الأنغام,وين أمسيت وين أصبحت يا ضرغام,,محمد علي عبدالله,رثاء,نعم,2
كان مصلح كريم بل كان شجاع وهمام .. كان طاهر تقي وكان لينا خير إمام .. كان طيب قلب وكان للشريعة زمام .. عطر قبره يا مولاي ظله غمام,كان مصلح كريم بل كان شجاع وهمام,كان طاهر تقي وكان لينا خير إمام,كان طيب قلب وكان للشريعة زمام,عطر قبره يا مولاي ظله غمام,,محمد علي عبدالله,رثاء,نعم,2
مالك يا دهر لكل ساس هدام .. قاسي مابتلين أفقدتنا المقدام .. جعفر كان صفوح كان مرشد الأيتام .. والخلق الكريم كان خلقه ليه ختام,مالك يا دهر لكل ساس هدام,قاسي مابتلين أفقدتنا المقدام,جعفر كان صفوح كان مرشد الأيتام,والخلق الكريم كان خلقه ليه ختام,,محمد علي عبدالله,رثاء,نعم,2
احنا اولاد جعل أهل الملك بالأولى .. واحنا ملكنا معلوم خايله فيه الصوله .. واحنا الفارسنا بتختشيه الدوله .. واحنا الصاقعة كل الناس تقول لا حولا,احنا اولاد جعل أهل الملك بالأولى,واحنا ملكنا معلوم خايله فيه الصوله,واحنا الفارسنا بتختشيه الدوله,واحنا الصاقعة كل الناس تقول لا حولا,,حسن خلف الله,فخر,نعم,2
